timeframe,move_start_ts,move_end_ts,move_low,move_high,move_duration_bars,consol_start_ts,consol_end_ts,consol_low,consol_high,consol_duration_bars,fib_retracement_depth,fib_50,entry_ts,entry_price,entry_score
1day,2006-09-12 21:00:00+00:00,2006-10-02 21:00:00+00:00,4642.5,4730.5,16,2006-10-02 21:00:00+00:00,2006-10-12 21:00:00+00:00,4685.25,4781.25,9,0.5142045454545454,4686.5,2006-10-12 21:00:00+00:00,4780.0,0.8888888888888888
1day,2007-04-04 21:00:00+00:00,2007-06-12 21:00:00+00:00,4807.0,4949.75,50,2007-06-12 21:00:00+00:00,2007-07-03 21:00:00+00:00,4892.0,4964.5,16,0.404553415061296,4878.375,2007-07-03 21:00:00+00:00,4964.5,1.0
1day,2007-08-22 21:00:00+00:00,2007-08-28 21:00:00+00:00,4885.0,4949.5,6,2007-08-28 21:00:00+00:00,2007-09-04 21:00:00+00:00,4885.0,5018.0,5,1.0,4917.25,2007-09-04 21:00:00+00:00,5004.25,1.0
1day,2008-04-17 21:00:00+00:00,2008-05-22 21:00:00+00:00,4761.0,4980.75,27,2008-05-22 21:00:00+00:00,2008-05-28 21:00:00+00:00,4872.25,4935.25,5,0.4937428896473265,4870.875,2008-05-28 21:00:00+00:00,4931.5,1.0
1day,2009-03-27 21:00:00+00:00,2009-04-21 21:00:00+00:00,4110.5,4267.75,18,2009-04-21 21:00:00+00:00,2009-05-04 21:00:00+00:00,4206.75,4332.75,10,0.38791732909379967,4189.125,2009-05-04 21:00:00+00:00,4329.5,0.7777777777777778
1day,2009-07-14 21:00:00+00:00,2009-08-18 21:00:00+00:00,4345.5,4546.75,27,2009-08-18 21:00:00+00:00,2009-09-10 21:00:00+00:00,4472.0,4594.5,17,0.37142857142857144,4446.125,2009-09-10 21:00:00+00:00,4593.0,1.0
1day,2010-09-03 21:00:00+00:00,2010-11-15 22:00:00+00:00,4751.0,5117.0,52,2010-11-15 22:00:00+00:00,2010-11-22 22:00:00+00:00,5002.5,5074.5,6,0.3128415300546448,4934.0,2010-11-22 22:00:00+00:00,5073.5,1.0
1day,2013-06-28 21:00:00+00:00,2013-08-16 21:00:00+00:00,5852.75,6116.5,36,2013-08-16 21:00:00+00:00,2013-08-23 21:00:00+00:00,6024.0,6095.5,6,0.35071090047393366,5984.625,2013-08-23 21:00:00+00:00,6089.75,1.0
1day,2013-10-11 21:00:00+00:00,2013-11-20 22:00:00+00:00,6151.0,6401.0,30,2013-11-20 22:00:00+00:00,2013-11-26 22:00:00+00:00,6333.75,6431.25,5,0.269,6276.0,2013-11-26 22:00:00+00:00,6422.5,1.0
1day,2014-05-13 21:00:00+00:00,2014-08-01 21:00:00+00:00,6527.5,6985.25,58,2014-08-01 21:00:00+00:00,2014-08-13 21:00:00+00:00,6820.5,6943.5,9,0.3599126160567996,6756.375,2014-08-13 21:00:00+00:00,6939.75,1.0
