timeframe,move_start_ts,move_end_ts,move_low,move_high,move_duration_bars,consol_start_ts,consol_end_ts,consol_low,consol_high,consol_duration_bars,fib_retracement_depth,fib_50,entry_ts,entry_price,entry_score
60min,2005-05-03 14:00:00+00:00,2005-05-06 17:00:00+00:00,4569.5,4610.0,26,2005-05-06 17:00:00+00:00,2005-05-09 17:00:00+00:00,4594.0,4609.0,8,0.3950617283950617,4589.75,2005-05-09 17:00:00+00:00,4608.0,1.0
60min,2005-05-26 14:00:00+00:00,2005-05-27 15:00:00+00:00,4686.5,4699.0,10,2005-05-27 15:00:00+00:00,2005-05-27 19:00:00+00:00,4688.0,4698.0,5,0.88,4692.75,2005-05-27 19:00:00+00:00,4697.5,1.0
60min,2005-07-07 19:00:00+00:00,2005-07-13 15:00:00+00:00,4637.5,4702.5,26,2005-07-13 15:00:00+00:00,2005-07-14 14:00:00+00:00,4690.5,4719.0,7,0.18461538461538463,4670.0,2005-07-14 14:00:00+00:00,4709.0,0.7777777777777778
60min,2005-07-26 19:00:00+00:00,2005-07-27 15:00:00+00:00,4731.5,4744.5,5,2005-07-27 15:00:00+00:00,2005-07-27 19:00:00+00:00,4731.5,4752.0,5,1.0,4738.0,2005-07-27 19:00:00+00:00,4751.0,1.0
60min,2005-10-21 18:00:00+00:00,2005-10-25 16:00:00+00:00,4688.0,4717.5,14,2005-10-25 16:00:00+00:00,2005-10-26 15:00:00+00:00,4700.5,4720.0,7,0.576271186440678,4702.75,2005-10-26 15:00:00+00:00,4719.0,1.0
60min,2005-10-31 16:00:00+00:00,2005-11-09 16:00:00+00:00,4694.5,4763.0,51,2005-11-09 16:00:00+00:00,2005-11-10 19:00:00+00:00,4745.0,4770.5,11,0.26277372262773724,4728.75,2005-11-10 19:00:00+00:00,4768.5,1.0
60min,2005-11-16 20:00:00+00:00,2005-11-24 16:00:00+00:00,4771.0,4829.0,40,2005-11-24 16:00:00+00:00,2005-11-25 18:00:00+00:00,4816.5,4825.0,6,0.21551724137931033,4800.0,2005-11-25 18:00:00+00:00,4823.5,1.0
60min,2005-12-09 20:00:00+00:00,2005-12-12 19:00:00+00:00,4808.5,4822.0,8,2005-12-12 19:00:00+00:00,2005-12-13 20:00:00+00:00,4811.5,4834.0,9,0.7777777777777778,4815.25,2005-12-13 20:00:00+00:00,4832.0,1.0
60min,2006-03-01 16:00:00+00:00,2006-03-02 18:00:00+00:00,4778.5,4806.5,11,2006-03-02 18:00:00+00:00,2006-03-03 18:00:00+00:00,4782.5,4810.0,8,0.8571428571428571,4792.5,2006-03-03 18:00:00+00:00,4807.0,1.0
60min,2006-03-14 16:00:00+00:00,2006-03-15 17:00:00+00:00,4760.5,4794.0,10,2006-03-15 17:00:00+00:00,2006-03-15 21:00:00+00:00,4783.0,4799.5,5,0.3283582089552239,4777.25,2006-03-15 21:00:00+00:00,4799.0,1.0
